Medicine_Name,Image_URL,TYPE
Nisakathakadi ks,"https://thedesifood.com/media/Kerala%20Ayurveda%20Nisakathakadi%20Kwath,%20200%20ml-3.webp",Diabetes 
Ayaskrti,https://d38nz3lowmn6le.cloudfront.net/Uploads/2023/03/ayasktiyi-600x600.jpg,Diabetes 
Amalakasava,https://www.eayur.com/storage/app/public/product_image/sna_aamalakaasavam_54968.png,Diabetes 
Gooseberry+Turmeric juice,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGgo6NT1HgM5IKBr9QAM1vErsrvS0vuZ5r8g&s,Diabetes 
chandraprabha gulika,https://www.keralaayurveda.biz/media/user_v1oz1Yz27j/2361/11.png,Diabetes 
Niruryaadi gulika,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/423329bdf96203c3a8397ed04f3bb6ff/f/g/fgt024-niruryadi_gulika.png,Diabetes 
varanadi kashaya,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/2615fe9f411026238f0706013771e8e4/f/g/fgk025-varanadi_kashayam.png,Obesity
varachoorna,https://www.sreemed.com/Media/Product/Original/92b73bd7-5-202102111521009885.jpg,Obesity
Asanadi kashaya ,https://dukaan.b-cdn.net/701x701/webp/548564/c45df9d1-6e6f-4b46-89fc-f0b2d6cc6d4a.png,Obesity
kanchanara guggulu,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/423329bdf96203c3a8397ed04f3bb6ff/f/g/fgt060-_kanchanara_guggulu.png,Obesity
kalyana kshara,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/2615fe9f411026238f0706013771e8e4/f/g/fgb007-kalyanaksharam.png,Obesity
Triphala guggulu,https://www.athreyaherbs.com/cdn/shop/files/triphala-guggulu-1_ee30f551-65cb-46ca-a4ae-28340576c5a1_300x.png?v=1713434448,Obesity
Dasamoolam kashaya ,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/423329bdf96203c3a8397ed04f3bb6ff/f/g/fgk061-dasamulam_kashayam_1.png,Hypertension 
Brhathyadi ks,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/423329bdf96203c3a8397ed04f3bb6ff/f/g/fgk018-brihatyadi_kashayam.png,Hypertension 
Drakshadi ks,https://shop.aryavaidyasala.com/pub/media/catalog/product/cache/423329bdf96203c3a8397ed04f3bb6ff/f/g/fgk010-drakshadi_kashayam.png,Hypertension 
Mrdweekadi ks,https://www.ayursopanam.com/data/uploads/p/cache/LARGE_IMAGE767X767/e/9/e96b8vaidyaratnam-mrudweekadi-kashayam-200-ml.jpg,Hypertension 
Avipathi choorna ,https://www.keralaayurveda.biz/media/user_v1oz1Yz27j/6104/3.webp,Hypertension 
kachooradi choorna+taila for thalam,https://www.ayurvedabay.com/media/catalog/product/cache/542f2760911b73a2847fdaaef4e79262/k/a/kachooradi-choornam.jpg,Hypertension 
